fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,99.55179282868527,99.55179282868527,89.34262948207171,99.55179282868527,89.34262948207171,99.55179282868527,89.34262948207171
0.9,99.55179282868527,99.5019920318725,85.1593625498008,99.35258964143426,85.95617529880478,87.300796812749,49.20318725099602
0.8,99.55179282868527,99.5019920318725,97.36055776892431,99.30278884462152,90.18924302788845,97.16135458167331,49.25298804780876
0.7,99.55179282868527,99.40239043824701,99.45219123505976,95.26892430278885,84.51195219123505,90.68725099601593,48.854581673306775
0.65,99.55179282868527,99.30278884462152,99.5019920318725,99.00398406374502,82.66932270916335,92.2808764940239,49.00398406374502
0.6,99.55179282868527,99.30278884462152,99.55179282868527,98.30677290836654,79.23306772908367,96.11553784860558,48.854581673306775
0.55,99.55179282868527,99.20318725099601,99.5019920318725,97.50996015936255,80.22908366533865,48.80478087649402,48.80478087649402
0.5,99.55179282868527,99.05378486055777,99.25298804780877,93.92430278884463,73.50597609561753,78.0378486055777,48.80478087649402
0.45,99.55179282868527,99.05378486055777,99.25298804780877,98.35657370517929,83.61553784860558,51.19521912350598,48.80478087649402
0.4,99.55179282868527,99.05378486055777,99.35258964143426,89.29282868525897,76.14541832669323,51.19521912350598,48.80478087649402
0.35,99.55179282868527,99.10358565737052,99.35258964143426,92.03187250996017,78.68525896414343,48.80478087649402,48.80478087649402
0.3,99.55179282868527,99.10358565737052,99.35258964143426,90.38844621513944,71.06573705179282,48.80478087649402,48.80478087649402
0.25,99.55179282868527,99.05378486055777,99.35258964143426,75.94621513944223,75.0996015936255,48.80478087649402,48.80478087649402
0.2,99.55179282868527,98.70517928286853,99.05378486055777,77.68924302788845,58.81474103585657,48.80478087649402,48.80478087649402
0.15,99.55179282868527,98.65537848605578,99.00398406374502,62.5996015936255,55.12948207171315,77.49003984063745,55.12948207171315
0.1,99.55179282868527,98.45617529880478,98.75498007968127,67.23107569721115,64.04382470119522,53.88446215139442,59.213147410358566
0.05,99.55179282868527,98.20717131474103,98.50597609561753,56.02589641434263,48.20717131474104,48.80478087649402,48.80478087649402
0.01,99.55179282868527,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.005,99.55179282868527,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.001,99.55179282868527,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
