fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.25,99.01816396661758,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.005,7.25,99.01816396661758,48.80478087649402,48.80478087649402,49.087834963533204,48.82403376185977,48.80478087649402,48.80478087649402
0.01,7.25,99.01816396661758,48.80478087649402,48.80478087649402,49.901816396661765,49.57551971788839,48.80478087649402,48.80478087649402
0.05,7.25,99.01816396661758,48.80478087649402,48.81723107569721,59.3519882179676,54.72508591065292,47.74170989092232,48.8296812749004
0.1,7.25,99.01816396661758,52.03730976926853,57.05002156323161,65.91801669121256,54.20962199312714,48.95017377715451,47.73466272367575
0.15,7.25,99.01816396661758,63.451153657339226,79.20079622599441,75.61364752086402,54.36917034855179,49.42317133038783,49.45999018163967
0.2,7.25,99.01816396661758,66.34756995581738,90.08345606283751,81.22238586156112,56.39420716740304,49.312714776632305,48.54140140469052
0.25,7.25,99.01816396661758,72.72950417280313,93.09032891507117,82.26558664702995,56.07511045655376,49.148667969261886,49.42317133038783
0.3,7.25,99.01816396661758,75.9327442317133,94.40353460972018,85.91065292096219,53.15414825724104,50.061364752086405,49.76681394207168
0.35,7.25,99.01816396661758,77.83505154639175,94.30535100638194,89.24889543446244,53.706431026018656,48.83971722339899,49.55817378497791
0.4,7.25,99.01816396661758,83.55424644084438,94.80854197349043,91.53166421207659,54.945999018163974,48.86426312423355,49.53362788414335
0.45,7.25,99.01816396661758,90.30436917034856,93.93716249386354,92.6975945017182,53.632793323514974,48.80478087649402,48.80478087649402
0.5,7.25,99.01816396661758,94.31762395679922,88.88070692194404,93.22533136966126,51.91458026509573,48.80478087649402,48.80478087649402
0.55,7.25,99.01816396661758,96.47766323024055,77.22140402552773,95.5081001472754,52.52822778595974,48.829681274900395,48.80478087649402
0.6,7.25,99.01816396661758,97.86450662739321,65.43937162493863,96.09720176730485,50.20864015709376,48.80478087649402,48.854581673306775
0.65,7.25,99.01816396661758,98.44133529700541,53.25233186057929,96.68630338733432,51.42366224840452,49.2156374501992,49.15646691584179
0.7,7.25,99.01816396661758,98.53951890034364,50.0613647520864,97.36131566028472,50.527736867943055,49.53362788414335,49.4351997997211
0.8,7.25,99.01816396661758,98.79725085910653,49.668630338733436,97.96269023073147,49.96318114874816,49.53362788414335,49.53362788414335
0.9,7.25,99.01816396661758,98.96907216494846,49.58271968581247,98.5027000490918,49.644084437898876,49.53362788414335,49.53362788414335
1.0,7.25,99.01816396661758,99.01816396661758,49.619538537064315,99.01816396661758,49.619538537064315,99.01816396661758,49.619538537064315
