fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,3.5,99.7011952191235,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.005,3.5,99.7011952191235,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.01,3.5,99.7011952191235,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.05,3.5,99.7011952191235,48.80478087649402,48.80478087649402,55.25398406374502,50.59760956175299,48.80478087649402,48.80478087649402
0.1,3.5,99.7011952191235,92.95318725099601,93.57569721115539,66.38446215139442,55.951195219123505,48.80478087649402,48.80478087649402
0.15,3.5,99.7011952191235,98.10756972111554,98.85458167330677,68.72509960159363,60.88147410358566,47.50996015936255,48.80478087649402
0.2,3.5,99.7011952191235,98.45617529880478,99.00398406374502,80.65239043824701,66.60856573705179,48.80478087649402,48.70517928286853
0.25,3.5,99.7011952191235,98.65537848605578,99.17828685258962,81.97211155378486,69.59661354581672,48.80478087649402,48.80478087649402
0.3,3.5,99.7011952191235,98.58067729083666,99.20318725099601,88.64541832669323,72.18625498007968,50.87151394422311,48.85458167330677
0.35,3.5,99.7011952191235,98.8296812749004,99.25298804780876,90.96115537848607,74.5019920318725,48.80478087649402,48.80478087649402
0.4,3.5,99.7011952191235,98.97908366533865,99.30278884462152,94.89541832669323,74.42729083665338,48.80478087649402,48.80478087649402
0.45,3.5,99.7011952191235,99.05378486055777,99.30278884462152,94.99501992031873,75.72211155378486,48.80478087649402,48.80478087649402
0.5,3.5,99.7011952191235,99.203187250996,99.55179282868528,96.21513944223108,73.7300796812749,48.80478087649402,48.80478087649402
0.55,3.5,99.7011952191235,99.32768924302789,99.55179282868528,97.73406374501992,75.57270916334662,48.80478087649402,48.80478087649402
0.6,3.5,99.7011952191235,99.42729083665338,98.92928286852589,97.68426294820719,76.86752988047809,48.80478087649402,48.80478087649402
0.65,3.5,99.7011952191235,99.55179282868528,98.13247011952191,98.87948207171314,78.06274900398407,48.80478087649402,48.80478087649402
0.7,3.5,99.7011952191235,99.601593625498,95.64243027888446,99.25298804780876,76.31972111553785,48.80478087649402,48.80478087649402
0.8,3.5,99.7011952191235,99.65139442231076,92.82868525896414,99.32768924302789,80.35358565737052,48.829681274900395,48.80478087649402
0.9,3.5,99.7011952191235,99.67629482071713,83.9890438247012,99.55179282868528,77.8386454183267,51.245019920318725,48.80478087649402
1.0,3.5,99.7011952191235,99.7011952191235,76.74302788844622,99.7011952191235,76.74302788844622,99.7011952191235,76.74302788844622
