fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,99.7011952191235,99.7011952191235,76.19521912350598,99.7011952191235,76.19521912350598,99.7011952191235,76.19521912350598
0.9,99.7011952191235,99.65139442231076,81.42430278884463,99.7011952191235,81.57370517928287,66.88247011952191,48.80478087649402
0.8,99.7011952191235,99.65139442231076,95.91633466135458,99.30278884462152,78.88446215139442,48.80478087649402,48.80478087649402
0.7,99.7011952191235,99.60159362549801,98.85458167330677,98.50597609561753,72.85856573705179,48.80478087649402,48.80478087649402
0.65,99.7011952191235,99.60159362549801,99.00398406374502,96.61354581673307,65.58764940239044,48.80478087649402,48.80478087649402
0.6,99.7011952191235,99.55179282868527,99.45219123505976,88.89442231075697,81.52390438247012,48.80478087649402,48.80478087649402
0.55,99.7011952191235,99.55179282868527,99.55179282868527,97.4601593625498,66.58366533864542,48.80478087649402,48.80478087649402
0.5,99.7011952191235,99.25298804780877,99.7011952191235,95.86653386454184,73.15737051792829,48.80478087649402,48.80478087649402
0.45,99.7011952191235,99.30278884462152,99.45219123505976,94.7211155378486,81.82270916334662,48.80478087649402,48.80478087649402
0.4,99.7011952191235,99.25298804780877,99.30278884462152,97.31075697211155,72.80876494023904,48.80478087649402,48.80478087649402
0.35,99.7011952191235,99.20318725099601,99.25298804780877,89.39243027888446,65.48804780876495,48.80478087649402,48.80478087649402
0.3,99.7011952191235,99.30278884462152,99.5019920318725,74.35258964143426,70.66733067729083,48.80478087649402,48.80478087649402
0.25,99.7011952191235,99.15338645418326,99.55179282868527,79.38247011952191,61.155378486055774,48.80478087649402,48.80478087649402
0.2,99.7011952191235,98.80478087649402,99.00398406374502,82.91832669322709,64.9402390438247,48.80478087649402,48.80478087649402
0.15,99.7011952191235,98.65537848605578,98.90438247011951,59.462151394422314,59.36254980079681,37.5,37.54980079681275
0.1,99.7011952191235,98.60557768924303,98.85458167330677,69.47211155378486,56.723107569721115,48.80478087649402,48.80478087649402
0.05,99.7011952191235,48.80478087649402,48.80478087649402,53.635458167330675,59.61155378486056,48.80478087649402,48.80478087649402
0.01,99.7011952191235,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.005,99.7011952191235,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.001,99.7011952191235,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
