fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,99.75099601593624,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.005,7.0,99.75099601593624,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402,48.80478087649402
0.01,7.0,99.75099601593624,48.80478087649402,48.80478087649402,49.50199203187251,50.14940239043825,48.80478087649402,48.80478087649402
0.05,7.0,99.75099601593624,64.8406374501992,84.61155378486056,64.29282868525897,58.31673306772908,51.19521912350598,48.80478087649402
0.1,7.0,99.75099601593624,96.71314741035856,97.6593625498008,77.83864541832669,69.57171314741036,51.145418326693225,51.09561752988048
0.15,7.0,99.75099601593624,97.95816733067728,98.65537848605578,85.95617529880478,71.41434262948208,48.80478087649402,51.04581673306773
0.2,7.0,99.75099601593624,98.30677290836654,99.00398406374502,91.48406374501992,73.35657370517929,50.298804780876495,48.95418326693227
0.25,7.0,99.75099601593624,98.55577689243027,99.15338645418326,95.86653386454184,82.27091633466135,51.145418326693225,51.19521912350598
0.3,7.0,99.75099601593624,98.80478087649402,99.30278884462152,97.36055776892432,79.18326693227091,48.80478087649402,49.65139442231076
0.35,7.0,99.75099601593624,98.95418326693228,99.402390438247,97.7589641434263,83.51593625498008,48.80478087649402,49.601593625498005
0.4,7.0,99.75099601593624,99.203187250996,99.45219123505976,98.45617529880478,82.37051792828686,48.80478087649402,48.95418326693227
0.45,7.0,99.75099601593624,99.203187250996,99.5019920318725,98.80478087649402,84.7609561752988,48.80478087649402,49.00398406374502
0.5,7.0,99.75099601593624,99.30278884462152,99.601593625498,99.203187250996,87.10159362549801,48.80478087649402,48.80478087649402
0.55,7.0,99.75099601593624,99.45219123505976,99.601593625498,99.35258964143426,88.04780876494024,48.80478087649402,48.80478087649402
0.6,7.0,99.75099601593624,99.55179282868528,99.10358565737052,99.402390438247,87.25099601593625,48.80478087649402,48.80478087649402
0.65,7.0,99.75099601593624,99.55179282868528,98.65537848605578,99.45219123505976,88.44621513944223,48.80478087649402,48.80478087649402
0.7,7.0,99.75099601593624,99.601593625498,97.16135458167332,99.5019920318725,92.3804780876494,48.80478087649402,48.80478087649402
0.8,7.0,99.75099601593624,99.7011952191235,92.62948207171314,99.55179282868528,90.4382470119522,53.43625498007968,49.15338645418327
0.9,7.0,99.75099601593624,99.7011952191235,92.3804780876494,99.601593625498,92.43027888446215,71.36454183266932,50.199203187250994
1.0,7.0,99.75099601593624,99.75099601593624,93.47609561752988,99.75099601593624,93.47609561752988,99.75099601593624,93.47609561752988
